Safe,Bmoney,Center,Uncertainty,BlueHeight,High,RedHeight,Rmoney,Low,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RedMoney,Rednoise,BlueMoney,Bluenoise,LeftRep,MiddleRep,RightRep,response.keys,response.rt,date,frameRate,expName,session,participant,
5,None,0.25,0.2,0.75,20,0.25,None,0,0,0,0,12,19.61,-0.385024929621,-1.16,-1.15510122704,"TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='LeftRep', opacity=1.0, ori=0, pos=array([-0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Q\nPay', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='MiddleRep', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Space\nKeep', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='RightRep', opacity=1.0, ori=0, pos=array([ 0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='P\nGamble', units=u'norm', win=Window(...), wrapWidth=1)",p,7.52103090286,2018_Aug_20_1614,60.1037481156,Ambiguity,001,988,
5,None,0.25,0.1,0.75,20,0.25,None,0,0,1,1,11,20.55,0.550165769032,0.28,0.281099823976,"TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='LeftRep', opacity=1.0, ori=0, pos=array([-0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Q\nPay', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='MiddleRep', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Space\nKeep', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='RightRep', opacity=1.0, ori=0, pos=array([ 0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='P\nGamble', units=u'norm', win=Window(...), wrapWidth=1)",p,0.53506398201,2018_Aug_20_1614,60.1037481156,Ambiguity,001,988,
5,None,0.0,0.3,0.5,20,0.5,None,0,0,2,2,3,18.47,-1.52571603881,-0.29,-0.28999357323,"TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='LeftRep', opacity=1.0, ori=0, pos=array([-0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Q\nPay', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='MiddleRep', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Space\nKeep', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='RightRep', opacity=1.0, ori=0, pos=array([ 0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='P\nGamble', units=u'norm', win=Window(...), wrapWidth=1)",p,0.28450012207,2018_Aug_20_1614,60.1037481156,Ambiguity,001,988,
5,None,0.0,0.4,0.5,20,0.5,None,0,0,3,3,4,16.92,-3.08038724071,-0.08,-0.0847045522999,"TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='LeftRep', opacity=1.0, ori=0, pos=array([-0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Q\nPay', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='MiddleRep', opacity=1.0, ori=0, pos=array([ 0. ,  0.7]), rgb=array([ 255.,  255.,  255.]), text='Space\nKeep', units=u'norm', win=Window(...), wrapWidth=1)","TextStim(alignHoriz='right', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='RightRep', opacity=1.0, ori=0, pos=array([ 0.6,  0.7]), rgb=array([ 255.,  255.,  255.]), text='P\nGamble', units=u'norm', win=Window(...), wrapWidth=1)",p,0.332987070084,2018_Aug_20_1614,60.1037481156,Ambiguity,001,988,
