1.6976 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of [u'Built-in Output']
6.1629 	EXP 	Created thanksText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='arial', fontFiles=[], height=0.2, italic=False, name='thanksText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.1651 	EXP 	window1: blendMode = 'avg'
6.1804 	EXP 	text: autoDraw = True
6.1821 	EXP 	window1: blendMode = 'avg'
6.1970 	EXP 	window1: blendMode = 'avg'
6.2144 	EXP 	window1: blendMode = 'avg'
6.2308 	EXP 	window1: blendMode = 'avg'
6.2472 	EXP 	window1: blendMode = 'avg'
6.2639 	EXP 	window1: blendMode = 'avg'
6.2806 	EXP 	window1: blendMode = 'avg'
6.2975 	EXP 	window1: blendMode = 'avg'
6.3144 	EXP 	window1: blendMode = 'avg'
6.3311 	EXP 	window1: blendMode = 'avg'
6.3477 	EXP 	window1: blendMode = 'avg'
6.3645 	EXP 	window1: blendMode = 'avg'
6.3808 	EXP 	window1: blendMode = 'avg'
6.3988 	EXP 	window1: blendMode = 'avg'
6.4159 	EXP 	window1: blendMode = 'avg'
6.4328 	EXP 	window1: blendMode = 'avg'
6.4492 	EXP 	window1: blendMode = 'avg'
6.4652 	EXP 	window1: blendMode = 'avg'
6.4827 	EXP 	window1: blendMode = 'avg'
6.4996 	EXP 	window1: blendMode = 'avg'
6.5165 	EXP 	window1: blendMode = 'avg'
6.5330 	EXP 	window1: blendMode = 'avg'
6.5494 	EXP 	window1: blendMode = 'avg'
6.5667 	EXP 	window1: blendMode = 'avg'
6.5834 	EXP 	window1: blendMode = 'avg'
6.5999 	EXP 	window1: blendMode = 'avg'
6.6168 	EXP 	window1: blendMode = 'avg'
6.6329 	EXP 	window1: blendMode = 'avg'
6.6501 	EXP 	window1: blendMode = 'avg'
6.6670 	EXP 	window1: blendMode = 'avg'
6.6837 	EXP 	window1: blendMode = 'avg'
6.7004 	EXP 	window1: blendMode = 'avg'
6.7169 	EXP 	window1: blendMode = 'avg'
6.7338 	EXP 	window1: blendMode = 'avg'
6.7502 	EXP 	window1: blendMode = 'avg'
6.7674 	EXP 	window1: blendMode = 'avg'
6.7847 	EXP 	window1: blendMode = 'avg'
6.8006 	EXP 	window1: blendMode = 'avg'
6.8175 	EXP 	window1: blendMode = 'avg'
6.8341 	EXP 	window1: blendMode = 'avg'
6.8505 	EXP 	window1: blendMode = 'avg'
6.8678 	EXP 	window1: blendMode = 'avg'
6.8845 	EXP 	window1: blendMode = 'avg'
6.9012 	EXP 	window1: blendMode = 'avg'
6.9179 	EXP 	window1: blendMode = 'avg'
6.9346 	EXP 	window1: blendMode = 'avg'
6.9514 	EXP 	window1: blendMode = 'avg'
6.9682 	EXP 	window1: blendMode = 'avg'
6.9849 	EXP 	window1: blendMode = 'avg'
7.0015 	EXP 	window1: blendMode = 'avg'
7.0182 	EXP 	window1: blendMode = 'avg'
7.0351 	EXP 	window1: blendMode = 'avg'
7.0517 	EXP 	window1: blendMode = 'avg'
7.0685 	EXP 	window1: blendMode = 'avg'
7.0852 	EXP 	window1: blendMode = 'avg'
7.1020 	EXP 	window1: blendMode = 'avg'
7.1187 	EXP 	window1: blendMode = 'avg'
7.1356 	EXP 	window1: blendMode = 'avg'
7.1522 	EXP 	window1: blendMode = 'avg'
7.1689 	EXP 	window1: blendMode = 'avg'
7.1857 	EXP 	window1: blendMode = 'avg'
7.2023 	EXP 	window1: blendMode = 'avg'
7.2193 	EXP 	window1: blendMode = 'avg'
7.2357 	EXP 	window1: blendMode = 'avg'
